out:Speech Transmission Index_1,out:Speech Transmission Index_2,out:Speech Transmission Index_3
0.569042,0.627956,0.635819
0.584127,0.64103,0.649269
0.576865,0.63359,0.641824
0.574131,0.633011,0.641176
0.574907,0.633123,0.641148
0.568123,0.626276,0.63411
0.566846,0.62484,0.632977
0.572979,0.630321,0.638333
0.614138,0.661436,0.670643
0.628118,0.673474,0.682791
0.666869,0.708623,0.718507
0.747566,0.781648,0.792801
0.821305,0.844831,0.857566
0.746143,0.780041,0.791047
0.671478,0.713201,0.72309
0.628902,0.673478,0.68298
0.60382,0.652047,0.661163
0.625054,0.671488,0.680778
0.655169,0.698396,0.707949
0.703561,0.741487,0.751779
0.744163,0.778303,0.789232
0.708296,0.74669,0.756946
0.647764,0.68997,0.699549
0.626207,0.672615,0.681843
0.60444,0.653833,0.662882
0.613194,0.660987,0.670037
0.62282,0.668186,0.677471
0.644055,0.687151,0.696545
0.663419,0.705933,0.71549
0.65199,0.696049,0.70558
0.625234,0.670906,0.679992
0.609221,0.655873,0.66517
0.593169,0.643501,0.652337
0.605728,0.65459,0.663818
0.603219,0.650896,0.659826
0.614336,0.661309,0.670382
0.616824,0.664196,0.673221
0.619488,0.667529,0.676705
0.603087,0.650434,0.659356
0.600666,0.649392,0.658384
0.590822,0.643046,0.651643
0.596706,0.647248,0.65629
0.602851,0.653713,0.662481
0.600665,0.649936,0.658899
0.595183,0.644992,0.653864
0.599909,0.649268,0.658084
0.599672,0.649428,0.658355
0.595115,0.646206,0.654932
0.582469,0.636166,0.644768
0.591498,0.642981,0.651694
0.587491,0.637878,0.646713
0.586324,0.638011,0.646573
0.587923,0.639045,0.647885
0.589586,0.641745,0.650514
0.590722,0.642087,0.650952
0.584989,0.636336,0.645085
0.57377,0.62789,0.636303
0.58055,0.634863,0.643446
0.578988,0.633439,0.641939
0.579797,0.633363,0.641966
0.581927,0.63515,0.643856
0.580295,0.633344,0.64184
0.583907,0.638102,0.646649
0.576562,0.630878,0.639228
0.57097,0.625695,0.634088
0.585705,0.639895,0.648553
0.573448,0.628998,0.637174
0.563675,0.61957,0.627589
0.573992,0.629592,0.638058
0.576264,0.630926,0.639429
0.575334,0.62974,0.638329
0.573186,0.628129,0.63645
0.579192,0.634766,0.643066
0.571608,0.627513,0.635865
0.578115,0.633194,0.641545
0.575225,0.631134,0.639393
0.570546,0.62664,0.634888
0.578223,0.633366,0.641649
0.580091,0.636703,0.644926
0.570942,0.626312,0.634713
0.572443,0.628269,0.636469
0.571729,0.628706,0.636841
0.574331,0.629899,0.638338
0.573437,0.629669,0.637963
0.577426,0.633168,0.641491
0.573227,0.629305,0.637556
0.580804,0.63696,0.645527
0.583518,0.639374,0.647948
0.577893,0.635871,0.644244
0.564996,0.622946,0.630781
0.570998,0.627361,0.635566
0.565821,0.623297,0.631372
0.568929,0.626371,0.634361
0.570063,0.627906,0.635928
0.572335,0.628603,0.6371
0.571308,0.628036,0.636332
0.56875,0.627124,0.635087
0.568581,0.626554,0.634661
0.570425,0.628181,0.636201
0.573231,0.631713,0.639715
0.578316,0.63476,0.643075
0.568446,0.627088,0.635113
0.571147,0.628574,0.636588
0.571744,0.629207,0.637546
0.565837,0.623091,0.631225
0.57121,0.629303,0.637305
0.570342,0.629309,0.637241
0.570928,0.629191,0.637184
0.574175,0.63132,0.639469
0.573044,0.631003,0.639194
0.572899,0.629814,0.637896
0.569304,0.627483,0.635546
0.599702,0.649945,0.658802
0.603519,0.65054,0.659856
0.624225,0.670638,0.679968
0.663007,0.704537,0.714136
0.744824,0.778481,0.789499
0.82789,0.851781,0.864842
0.747804,0.781849,0.792831
0.672293,0.713154,0.722782
0.596077,0.646506,0.655625
0.602564,0.651457,0.660476
0.624294,0.670626,0.680008
0.650972,0.693473,0.703083
0.706344,0.744569,0.754707
0.746754,0.780732,0.791662
0.70985,0.74838,0.758602
0.664646,0.707218,0.716952
0.588805,0.638918,0.648013
0.600047,0.649984,0.658884
0.603568,0.651622,0.660626
0.621385,0.666992,0.676325
0.642731,0.685723,0.695242
0.662028,0.703757,0.713449
0.654287,0.697254,0.706927
0.632906,0.678128,0.687462
0.587065,0.638465,0.64721
0.599677,0.650646,0.659684
0.600218,0.649746,0.658519
0.603193,0.651887,0.66074
